,temperature_text,color_code,url_suffix,temperature,coordinates_str,lat,long
91,"42.4 °C (108.3 °F)
",#F20000,/wiki/F%C4%83le%C8%99ti,42.4,"('47°34′20″N', '27°42′50″E')",47.57222222222222,27.71388888888889
92,"35.1 °C (95.2 °F)
",#FF2C00,/wiki/Monaco,35.1,"('43°43′52″N', '07°25′12″E')",43.73111111111111,7.42
93,"44.8 °C (112.6 °F)
",#D10000,/wiki/Podgorica,44.8,"('42°26′29″N', '19°15′46″E')",42.44138888888889,19.262777777777778
94,"40.7 °C (105.3 °F)
",#FF0500,/wiki/Gilze_en_Rijen,40.7,"('51°35′N', '4°55′E')",51.583333333333336,4.916666666666667
95,"45.7 °C (114.3 °F)
",#C50000,/wiki/Demir_Kapija,45.7,"(None, None)",,
96,"35.6 °C (96.1 °F)
",#FF2800,/wiki/Nesbyen,35.6,"('60°34′N', '9°06′E')",60.56666666666667,9.1
97,"40.2 °C (104.4 °F)
",#FF0800,/wiki/Pr%C3%B3szk%C3%B3w,40.2,"('50°34′35″N', '17°52′17″E')",50.57638888888889,17.87138888888889
98,"47.4 °C (117.3 °F)
",#AD0000,/wiki/Amareleja,47.4,"('38°12′29″N', '7°13′41″W')",38.20805555555556,-7.228055555555556
99,"44.5 °C (112.1 °F)
",#D50000,/wiki/Ion_Sion,44.5,"('45°17′N', '27°32′E')",45.28333333333333,27.533333333333335
100,"45.4 °C (113.7 °F)
",#C90000,/wiki/Utta,45.4,"('46°21′54″N', '46°00′10″E')",46.365,46.00277777777778
101,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Serravalle_(San_Marino),40.3,"('43°58′18″N', '12°28′54″E')",43.97166666666667,12.481666666666667
102,"44.9 °C (112.8 °F)
",#D00000,/wiki/Smederevska_Palanka,44.9,"('44°21.98′N', '20°57.39′E')",44.36633333333333,20.9565
103,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Hurbanovo,40.3,"('47°52′32″N', '18°11′36″E')",47.87555555555556,18.193333333333335
104,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Cerklje_ob_Krki,40.8,"('45°53′3.99″N', '15°31′12.88″E')",45.88444166666667,15.520244444444446
105,"47.6 °C (117.7 °F)
",#AA0000,"/wiki/La_Rambla,_Cordoba",47.6,"('37°36′N', '4°44′W')",37.6,-4.733333333333333
106,"38.0 °C (100.4 °F)
",#FF1800,/wiki/Ultuna,38.0,"('59°49′00″N', '17°39′30″E')",59.81666666666667,17.65833333333333
107,"41.5 °C (106.7 °F)
",#FF0000,"/wiki/Grono,_Switzerland",41.5,"('46°15′N', '9°09′E')",46.25,9.15
108,"42.0 °C (107.6 °F)
",#F80000,/wiki/Luhansk,42.0,"('48°34′04″N', '39°18′11″E')",48.56777777777778,39.30305555555555
109,"40.3 °C (104.5 °F)
",#FF0800,/wiki/Coningsby,40.3,"('53°06′18″N', '0°10′31″W')",53.105000000000004,-0.17527777777777775
110,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Vatican_City,40.8,"('41°54′09″N', '12°27′09″E')",41.902499999999996,12.452499999999999
111,"34.2 °C (93.6 °F)
",#FF3200,"/wiki/The_Valley,_Anguilla",34.2,"('18°13′15″N', '63°03′06″W')",18.22083333333333,-63.05166666666666
112,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/V._C._Bird_International_Airport,34.9,"('17°08′12″N', '061°47′35″W')",17.136666666666667,-61.793055555555554
113,"35.0 °C (95.0 °F)
",#FF2C00,/wiki/Terrance_B._Lettsome_International_Airport,35.0,"('18°26′44″N', '064°32′35″W')",18.445555555555554,-64.54305555555555
114,"49.6 °C (121.3 °F)
",#8F0000,"/wiki/Lytton,_British_Columbia",49.6,"('50°13′52″N', '121°34′53″W')",50.23111111111111,-121.58138888888888
115,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/Owen_Roberts_International_Airport,34.9,"('19°17′33″N', '081°21′33″W')",19.2925,-81.35916666666667
116,"39.7 °C (103.5 °F)
",#FF0C00,/wiki/Granma_Province,39.7,"(None, None)",,
117,"43.0 °C (109.4 °F)
",#EA0000,"/wiki/Mao,_Dominican_Republic",43.0,"('19°34′0″N', '71°05′0″W')",19.566666666666666,-71.08333333333333
118,"30.1 °C (86.2 °F)
",#FF4E00,/wiki/Ivittuut,30.1,"('61°12′30″N', '48°10′10″W')",61.208333333333336,-48.169444444444444
119,"45.0 °C (113.0 °F)
",#CE0000,/wiki/Estanzuela,45.0,"('15°00′00″N', '89°34′00″W')",15.0,-89.56666666666666
120,"36.5 °C (97.7 °F)
",#FF2200,"/wiki/Saint-Pierre,_Martinique",36.5,"('14°44′30″N', '61°10′33″W')",14.741666666666665,-61.17583333333333
121,"52.0 °C (125.6 °F)
",#6E0000,/wiki/Mexicali,52.0,"('32°39′48″N', '115°28′04″W')",32.663333333333334,-115.46777777777778
122,"40.0 °C (104.0 °F)
",#FF0A00,"/wiki/San_Francisco,_Panam%C3%A1",40.0,"('8°59′31″N', '79°30′25″W')",8.991944444444444,-79.50694444444444
123,"40.0 °C (104.0 °F)
",#FF0A00,/wiki/Mona_Island,40.0,"('18°5′12″N', '67°53′22″W')",18.086666666666666,-67.88944444444445
124,"56.7 °C (134.0 °F)
",#2D0000,"/wiki/Furnace_Creek,_California",56.7,"('36°27′29″N', '116°52′15″W')",36.45805555555556,-116.87083333333332
125,"37.2 °C (99 °F)
",#FF1D00,"/wiki/Saint_Thomas,_U.S._Virgin_Islands",37.2,"('18°20′N', '64°55′W')",18.333333333333332,-64.91666666666667
126,"50.7 °C (123.3 °F)
",#800000,/wiki/Oodnadatta,50.7,"('27°32′53″S', '135°26′44″E')",-27.548055555555557,135.44555555555556
127,"35.6 °C (96.1 °F)
",#FF2800,/wiki/Utirik_Atoll,35.6,"(None, None)",,
128,"37.2 °C (99.0 °F)
",#FF1D00,/wiki/Yaren_District,37.2,"('0°32′51.72″S', '166°55′15.12″E')",-0.5477,166.92086666666665
129,"42.4 °C (108.3 °F)
",#F20000,/wiki/Rangiora,42.4,"('43°18′12″S', '172°35′29″E')",-43.30333333333333,172.5913888888889
130,"35.0 °C (95.0 °F)
",#FF2C00,/wiki/Koror,35.0,"('07°20′32″N', '134°28′38″E')",7.3422222222222215,134.47722222222222
131,"35.3 °C (95.5 °F)
",#FF2A00,"/wiki/Asau,_Samoa",35.3,"('13°31′9.8″S', '172°38′14″W')",-13.519388888888889,-172.63722222222222
132,"36.1 °C (97.0 °F)
",#FF2500,/wiki/Honiara,36.1,"('9°25′55″S', '159°57′20″E')",-9.431944444444444,159.95555555555555
133,"35.5 °C (95.9 °F)
",#FF2900,/wiki/Niuafoou,35.5,"(None, None)",,
134,"36.2 °C (97.2 °F)
",#FF2400,/w/index.php?title=Lamap_Malekula&action=edit&redlink=1,36.2,"(None, None)",,
135,"35.8 °C (96.4 °F)
",#FF2700,/wiki/Pointe_Vele_Airport,35.8,"(None, None)",,
136,"48.9 °C (120.0 °F)
",#990000,"/wiki/Rivadavia,_Salta",48.9,"(None, None)",,
137,"46.7 °C (116.1 °F)
",#B70000,/wiki/Villamontes,46.7,"('21°15′39″S', '63°28′34″W')",-21.260833333333334,-63.476111111111116
138,"44.8 °C (112.6 °F)
",#D10000,/wiki/Ara%C3%A7ua%C3%AD,44.8,"('16°51′00″S', '42°04′12″W')",-16.85,-42.07
139,"44.9 °C (112.8 °F)
",#D00000,/wiki/Quill%C3%B3n,44.9,"('36°44′40″S', '72°28′36″W')",-36.74444444444445,-72.47666666666667
140,"45.0 °C (113.0 °F)
",#CE0000,/wiki/Puerto_Salgar,45.0,"('5°30′N', '74°35′W')",5.5,-74.58333333333333
141,"38.0 °C (100.4 °F)
",#FF1800,/wiki/Saint-Laurent-du-Maroni,38.0,"('5°29′58″N', '54°01′52″W')",5.499444444444444,-54.03111111111111
142,"46.2 °C (115.2 °F)
",#BE0000,/w/index.php?title=Las_Palmas_(Paraguay)&action=edit&redlink=1,46.2,"(None, None)",,
143,"41.6 °C (106.9 °F)
",#FD0000,/wiki/I%C3%B1apari,41.6,"('10°56′51.64″S', '69°34′35.04″W')",-10.947677777777779,-69.57639999999999
144,"44.0 °C (111.2 °F)
",#DC0000,/wiki/Paysand%C3%BA,44.0,"('32°19′17″S', '58°4′32″W')",-32.32138888888889,-58.07555555555556
145,"43.6 °C (110.5 °F)
",#E20000,/wiki/Santa_Ana_de_Coro,43.6,"('11°25′01″N', '69°40′12″W')",11.416944444444443,-69.67
